UserID,Year,Month,Day,Hour,Minute,Day of week,Wi-Fi,Bluetooth,Charger,MotionSensor,GPS,CellChange,CarPlay_AndroidAuto,BLE,State
user1,2024,1,1,0,0,monday,2024-01-01 00.00:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,5,monday,2024-01-01 00.05:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,0,10,monday,2024-01-01 00.10:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,15,monday,2024-01-01 00.15:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,20,monday,2024-01-01 00.20:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,25,monday,2024-01-01 00.25:00,0.5,0.5,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,30,monday,2024-01-01 00.30:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,35,monday,2024-01-01 00.35:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,40,monday,2024-01-01 00.40:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,45,monday,2024-01-01 00.45:00,0.5,0.5,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,50,monday,2024-01-01 00.50:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,0,55,monday,2024-01-01 00.55:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,1,0,monday,2024-01-01 01.00:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,5,monday,2024-01-01 01.05:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,10,monday,2024-01-01 01.10:00,0.5,0.5,0.5,1,1,0.5,0.5,1
user1,2024,1,1,1,15,monday,2024-01-01 01.15:00,0.5,0.5,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,20,monday,2024-01-01 01.20:00,0.5,0.5,0,0,0,0.5,0.5,1
user1,2024,1,1,1,25,monday,2024-01-01 01.25:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,30,monday,2024-01-01 01.30:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,35,monday,2024-01-01 01.35:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,1,40,monday,2024-01-01 01.40:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,45,monday,2024-01-01 01.45:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,1,50,monday,2024-01-01 01.50:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,1,55,monday,2024-01-01 01.55:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,2,0,monday,2024-01-01 02.00:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,5,monday,2024-01-01 02.05:00,0.5,0.5,0,0,0,0.5,0.5,1
user1,2024,1,1,2,10,monday,2024-01-01 02.10:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,15,monday,2024-01-01 02.15:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,20,monday,2024-01-01 02.20:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,25,monday,2024-01-01 02.25:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,30,monday,2024-01-01 02.30:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,35,monday,2024-01-01 02.35:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,40,monday,2024-01-01 02.40:00,0.5,1,0.5,1,1,0.5,0.5,1
user1,2024,1,1,2,45,monday,2024-01-01 02.45:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,2,50,monday,2024-01-01 02.50:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,2,55,monday,2024-01-01 02.55:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,3,0,monday,2024-01-01 03.00:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,5,monday,2024-01-01 03.05:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,10,monday,2024-01-01 03.10:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,15,monday,2024-01-01 03.15:00,0.5,0.5,0.5,1,1,0.5,0.5,1
user1,2024,1,1,3,20,monday,2024-01-01 03.20:00,0.5,1,0.5,1,1,0.5,0.5,1
user1,2024,1,1,3,25,monday,2024-01-01 03.25:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,30,monday,2024-01-01 03.30:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,35,monday,2024-01-01 03.35:00,0.5,1,0,0,0,0.5,0.5,1
user1,2024,1,1,3,40,monday,2024-01-01 03.40:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,45,monday,2024-01-01 03.45:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,50,monday,2024-01-01 03.50:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,3,55,monday,2024-01-01 03.55:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,4,0,monday,2024-01-01 04.00:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,4,5,monday,2024-01-01 04.05:00,0.5,1,0.5,0,0,0.5,0.5,1
user1,2024,1,1,4,10,monday,2024-01-01 04.10:00,0.5,1,0,0,0,0.5,0.5,1
